,coluna_1,coluna_2,coluna_3,coluna_4
0,89,51,43,5
1,58,18,61,6
2,73,9,34,54
3,62,91,32,70
4,11,99,77,41
5,73,85,24,61
6,58,53,28,41
7,39,86,66,83
8,42,52,58,44
9,39,65,97,49
10,74,78,13,59
11,67,64,48,67
12,83,45,4,56
13,82,88,1,9
14,41,70,41,36
15,44,38,81,85
16,72,97,77,74
17,52,8,39,40
18,51,52,7,6
19,41,18,63,26
20,75,13,13,40
21,41,93,87,43
22,70,59,25,28
23,93,44,40,15
24,36,62,92,81
25,83,69,26,74
26,35,14,22,47
27,35,60,55,91
28,31,52,84,96
29,94,49,15,93
30,27,54,13,3
31,58,12,24,53
32,80,82,71,64
33,14,16,59,27
34,75,30,93,34
35,52,58,27,27
36,2,43,19,39
37,80,77,17,87
38,95,64,6,88
39,46,94,91,35
40,23,56,44,42
41,48,90,50,54
42,51,97,27,20
43,16,57,92,27
44,6,60,23,52
45,86,68,86,9
46,1,34,60,39
47,80,11,79,20
48,24,72,74,28
49,99,35,93,25
50,79,92,65,41
51,26,86,86,70
52,30,14,39,8
53,86,7,93,18
54,53,16,33,0
55,40,75,20,75
56,74,44,2,18
57,65,62,3,76
58,5,22,87,14
59,3,48,16,22
60,21,39,40,78
61,36,25,71,58
62,82,89,3,68
63,35,23,90,65
64,58,67,53,57
65,97,68,37,91
66,26,0,46,69
67,4,33,4,60
68,71,96,31,69
69,55,8,14,26
70,56,88,24,62
71,23,98,5,14
72,82,8,41,11
73,74,50,74,38
74,38,59,32,68
75,53,0,78,52
76,95,50,27,42
77,98,59,15,72
78,87,28,18,4
79,41,69,75,2
80,57,99,92,96
81,37,65,35,5
82,84,22,24,74
83,69,72,66,24
84,1,57,97,56
85,35,58,5,64
86,12,7,67,61
87,46,7,22,17
88,81,22,39,13
89,54,69,89,65
90,84,49,83,92
91,90,34,73,80
92,93,16,47,56
93,3,80,11,14
94,5,85,12,20
95,46,84,43,36
96,14,41,71,22
97,2,11,54,72
98,21,31,35,43
99,76,58,94,8
