,coluna_1,coluna_2,coluna_3,coluna_4
0,57,93,0,21
1,77,32,91,15
2,85,38,53,14
3,97,25,5,0
4,37,52,68,99
5,49,33,45,9
6,26,72,58,22
7,77,19,82,69
8,30,57,93,30
9,14,53,88,13
10,65,92,10,11
11,14,43,5,53
12,36,60,79,63
13,41,34,45,25
14,91,10,37,15
15,61,81,99,25
16,82,78,1,42
17,61,70,31,81
18,3,72,1,42
19,38,99,88,80
20,22,33,10,58
21,3,11,19,59
22,40,34,38,76
23,88,61,26,64
24,43,26,32,50
25,43,76,11,1
26,47,39,57,2
27,42,52,73,34
28,99,14,71,58
29,69,86,54,35
30,17,61,98,22
31,87,33,6,26
32,56,60,73,41
33,57,54,27,25
34,66,53,70,48
35,78,4,66,69
36,12,46,4,88
37,61,64,82,17
38,76,20,57,36
39,76,36,37,98
40,71,4,1,2
41,54,99,71,58
42,35,50,82,3
43,30,78,34,32
44,82,74,55,26
45,54,52,50,58
46,9,89,79,57
47,40,73,22,51
48,38,38,64,16
49,58,5,71,58
50,48,8,45,58
51,18,17,57,93
52,20,74,3,94
53,42,73,8,42
54,76,52,56,55
55,20,95,24,30
56,38,53,63,33
57,77,91,37,30
58,71,13,51,32
59,90,64,66,58
60,38,16,83,62
61,81,99,32,11
62,76,45,80,64
63,30,5,65,87
64,52,37,70,14
65,17,79,82,60
66,53,18,77,4
67,79,0,47,47
68,5,0,63,4
69,75,21,58,37
70,51,47,87,62
71,76,42,82,15
72,94,29,31,20
73,39,18,99,98
74,17,62,58,77
75,89,45,21,60
76,26,57,72,7
77,73,32,88,91
78,38,79,47,80
79,94,27,14,2
80,40,29,95,14
81,38,61,34,36
82,31,61,73,83
83,25,16,4,84
84,13,77,52,49
85,13,6,54,83
86,30,54,42,96
87,30,1,32,74
88,92,10,74,87
89,67,8,44,73
90,84,30,15,8
91,52,0,42,9
92,92,52,74,13
93,76,78,1,7
94,88,61,88,50
95,39,35,45,27
96,35,51,6,1
97,69,99,5,9
98,54,85,33,56
99,5,25,53,65
