,coluna_1,coluna_2,coluna_3,coluna_4
0,7,73,6,58
1,39,25,94,28
2,35,25,85,11
3,54,2,27,26
4,28,70,82,19
5,75,39,14,3
6,58,41,63,21
7,43,48,98,91
8,18,72,4,39
9,12,60,21,49
10,84,10,31,60
11,57,24,87,33
12,41,33,20,78
13,31,28,61,48
14,2,59,6,99
15,13,15,30,61
16,73,37,33,17
17,35,57,72,4
18,4,92,99,77
19,12,90,75,75
20,67,83,27,52
21,44,63,4,8
22,78,50,90,43
23,52,90,68,40
24,45,23,56,18
25,88,68,97,42
26,0,8,10,91
27,69,16,99,91
28,83,75,54,24
29,25,41,46,27
30,8,60,63,28
31,52,8,66,59
32,8,77,97,58
33,83,49,84,37
34,24,19,96,9
35,75,54,49,1
36,60,51,22,23
37,21,81,48,17
38,69,35,68,27
39,11,97,73,35
40,39,23,70,73
41,26,32,62,79
42,49,37,4,95
43,73,65,85,33
44,9,53,99,64
45,13,20,88,68
46,18,18,79,45
47,17,3,18,75
48,19,93,86,84
49,43,69,80,82
50,5,6,28,21
51,85,94,85,96
52,12,37,12,42
53,55,2,63,22
54,91,65,13,39
55,3,83,71,91
56,72,26,92,13
57,87,43,75,75
58,71,17,96,11
59,63,98,85,94
60,49,62,79,66
61,88,57,62,90
62,82,1,66,82
63,39,65,15,8
64,26,68,38,14
65,25,47,48,9
66,12,86,49,8
67,13,26,69,70
68,70,19,93,93
69,46,77,88,9
70,40,47,49,74
71,83,66,1,33
72,19,75,7,81
73,15,42,71,86
74,90,41,28,70
75,47,53,0,17
76,90,29,59,30
77,1,4,63,96
78,69,54,44,15
79,48,10,87,80
80,48,64,61,68
81,78,31,13,90
82,46,67,76,45
83,49,90,98,52
84,57,55,5,13
85,82,80,49,3
86,91,59,93,5
87,72,96,84,41
88,20,21,25,97
89,84,16,38,90
90,98,78,15,55
91,8,68,16,22
92,13,63,27,43
93,60,20,80,98
94,48,88,19,76
95,78,85,0,18
96,7,96,32,86
97,58,71,91,13
98,56,53,84,89
99,66,14,93,4
