,coluna_1,coluna_2,coluna_3,coluna_4
0,44,16,34,91
1,53,73,59,89
2,66,37,26,34
3,94,7,49,97
4,63,22,28,67
5,38,58,60,12
6,60,41,90,73
7,45,51,99,90
8,56,97,14,48
9,32,45,89,86
10,53,49,54,26
11,64,70,63,40
12,96,44,42,50
13,51,72,0,92
14,94,36,7,85
15,17,59,2,7
16,86,90,47,72
17,19,34,14,91
18,39,96,93,17
19,77,62,44,33
20,32,3,21,19
21,89,24,82,63
22,91,49,45,95
23,92,44,52,86
24,97,10,1,39
25,25,27,83,57
26,85,27,76,47
27,24,24,74,4
28,78,18,25,73
29,55,83,13,54
30,61,30,98,65
31,46,54,85,58
32,31,10,66,72
33,21,76,64,54
34,68,35,19,40
35,16,90,33,74
36,71,86,29,56
37,50,79,64,21
38,9,53,55,17
39,97,91,35,51
40,3,5,31,97
41,72,58,67,21
42,23,16,4,75
43,58,84,13,76
44,8,44,44,18
45,3,92,69,14
46,56,97,18,66
47,51,89,1,55
48,35,5,14,62
49,0,47,80,85
50,24,64,11,35
51,99,49,76,91
52,67,1,36,47
53,78,5,97,3
54,46,16,48,71
55,57,49,25,21
56,72,61,28,37
57,40,86,3,78
58,13,42,22,53
59,9,54,83,23
60,51,91,27,69
61,38,77,67,15
62,85,67,9,60
63,1,44,38,63
64,62,59,19,53
65,87,24,18,20
66,3,90,9,58
67,19,51,18,85
68,35,75,85,18
69,11,49,20,64
70,2,60,48,56
71,31,62,54,58
72,18,28,32,82
73,3,20,99,85
74,52,96,99,61
75,29,75,74,14
76,59,26,4,1
77,34,9,89,99
78,14,57,80,80
79,37,89,98,80
80,42,88,27,55
81,91,8,6,69
82,93,47,17,59
83,82,53,85,41
84,92,33,30,62
85,12,82,43,7
86,55,77,15,14
87,35,96,34,12
88,61,75,72,12
89,86,25,1,59
90,64,21,56,36
91,68,37,88,73
92,38,11,96,73
93,24,97,23,98
94,74,80,56,51
95,60,31,31,7
96,40,41,90,74
97,58,11,77,23
98,34,18,7,83
99,3,89,38,56
