,coluna_1,coluna_2,coluna_3,coluna_4
0,56,88,95,4
1,23,87,4,53
2,90,13,72,11
3,13,48,34,85
4,52,47,96,73
5,14,94,93,74
6,38,43,57,8
7,76,91,56,56
8,32,36,53,45
9,74,30,4,18
10,74,56,60,32
11,22,51,54,2
12,72,65,47,32
13,58,7,48,54
14,98,72,53,85
15,6,13,11,88
16,54,60,13,5
17,82,2,7,67
18,80,10,58,57
19,95,54,40,39
20,27,44,77,28
21,57,10,50,78
22,67,10,14,58
23,5,90,87,20
24,56,33,2,24
25,14,30,99,94
26,8,3,13,44
27,62,8,65,71
28,63,99,10,82
29,26,76,58,33
30,6,15,31,68
31,77,37,94,84
32,36,97,89,34
33,27,12,32,33
34,46,24,93,11
35,24,70,78,3
36,94,81,81,39
37,52,58,83,86
38,81,59,72,82
39,12,76,0,46
40,74,2,18,13
41,80,68,82,12
42,90,65,9,41
43,50,22,72,82
44,33,8,18,16
45,11,3,47,65
46,42,89,89,44
47,2,87,35,44
48,13,73,14,13
49,64,9,53,65
50,48,61,47,81
51,29,21,65,85
52,45,68,10,45
53,42,11,57,75
54,34,52,25,6
55,71,62,57,57
56,34,27,36,38
57,46,8,86,81
58,72,2,4,60
59,75,99,8,86
60,27,27,92,78
61,28,29,89,91
62,27,59,56,81
63,84,4,26,94
64,85,74,73,57
65,5,51,99,95
66,21,9,85,46
67,45,67,64,89
68,70,97,89,67
69,30,38,85,81
70,39,50,80,21
71,9,6,36,84
72,58,63,91,26
73,86,1,13,92
74,33,43,59,44
75,40,45,34,6
76,4,88,82,14
77,3,60,85,12
78,55,18,18,50
79,86,53,41,45
80,2,97,66,33
81,67,91,38,62
82,73,70,78,91
83,91,14,44,85
84,12,10,10,63
85,61,33,30,3
86,91,46,96,48
87,87,14,32,54
88,18,20,27,59
89,11,39,93,33
90,54,72,47,88
91,14,19,37,24
92,98,92,39,26
93,3,80,64,58
94,71,82,39,54
95,15,4,88,97
96,44,78,59,33
97,28,94,9,29
98,55,85,83,11
99,86,24,36,25
