,coluna_1,coluna_2,coluna_3,coluna_4
0,44,15,23,90
1,50,35,3,33
2,46,89,57,92
3,16,54,35,15
4,75,56,54,36
5,86,43,47,93
6,78,54,1,67
7,29,60,64,47
8,10,97,99,21
9,95,91,95,70
10,87,45,73,54
11,94,35,3,91
12,59,22,92,35
13,82,94,69,80
14,85,67,0,86
15,20,1,52,63
16,91,33,65,96
17,17,63,83,49
18,14,47,17,17
19,91,98,84,42
20,60,48,70,69
21,94,30,99,48
22,47,33,65,94
23,85,53,88,16
24,11,54,79,78
25,5,14,28,57
26,98,83,25,69
27,91,5,90,60
28,96,45,42,13
29,36,75,17,17
30,17,50,51,5
31,22,63,0,76
32,72,72,60,75
33,15,85,7,52
34,72,61,36,18
35,87,65,69,27
36,44,54,80,53
37,10,99,56,8
38,11,63,30,80
39,53,78,96,32
40,95,71,91,49
41,90,18,15,2
42,5,46,68,79
43,14,75,58,51
44,98,48,4,59
45,92,95,38,95
46,50,6,83,86
47,58,84,54,89
48,45,77,80,47
49,91,37,62,31
50,66,64,26,78
51,92,17,34,17
52,1,68,1,70
53,7,66,90,15
54,4,46,10,26
55,5,31,45,41
56,68,38,57,27
57,59,88,60,79
58,74,64,12,61
59,81,72,55,69
60,42,21,42,41
61,28,58,36,85
62,88,21,25,32
63,86,51,71,63
64,90,50,32,65
65,25,90,33,73
66,85,89,96,16
67,85,52,77,28
68,94,83,33,87
69,67,46,65,77
70,75,16,34,30
71,84,89,83,4
72,1,11,80,83
73,76,14,22,4
74,78,10,7,74
75,53,62,95,41
76,97,63,76,30
77,64,1,75,97
78,3,19,13,71
79,74,26,12,45
80,87,60,55,46
81,74,68,93,5
82,17,99,40,85
83,9,63,27,38
84,58,11,51,98
85,16,41,51,22
86,92,34,60,67
87,36,73,62,47
88,53,86,52,51
89,26,40,9,52
90,45,75,33,80
91,45,78,40,8
92,22,49,28,75
93,3,15,98,55
94,76,96,35,90
95,86,56,5,43
96,31,58,98,20
97,19,14,64,2
98,19,55,73,75
99,45,84,13,0
