,coluna_1,coluna_2,coluna_3,coluna_4
0,4,17,30,55
1,62,4,54,12
2,13,37,39,47
3,84,99,94,55
4,61,26,34,91
5,75,38,1,31
6,54,20,40,20
7,80,43,56,75
8,90,54,83,55
9,72,64,97,78
10,36,91,75,61
11,7,70,59,17
12,58,14,92,64
13,3,71,95,48
14,11,59,6,94
15,81,48,89,78
16,1,12,86,16
17,75,31,37,12
18,49,90,59,23
19,7,4,51,4
20,92,45,82,10
21,36,1,39,48
22,35,99,82,42
23,35,69,2,35
24,77,51,76,46
25,73,66,36,85
26,63,47,90,66
27,86,40,96,36
28,50,89,40,78
29,29,99,1,78
30,84,1,42,5
31,84,76,32,83
32,22,16,25,48
33,1,48,74,99
34,42,79,63,89
35,78,96,70,9
36,31,77,25,3
37,11,14,11,74
38,89,1,42,96
39,9,74,31,43
40,34,69,3,0
41,63,22,96,29
42,24,47,14,99
43,59,76,37,40
44,48,3,68,79
45,28,11,94,76
46,80,87,91,62
47,92,40,24,81
48,74,69,89,71
49,44,78,25,78
50,31,28,47,23
51,70,47,2,98
52,53,71,92,66
53,20,28,22,6
54,25,82,62,36
55,20,62,46,26
56,19,86,45,51
57,61,94,92,37
58,48,10,50,82
59,46,34,37,67
60,35,23,9,6
61,88,23,57,93
62,40,27,32,97
63,89,54,72,65
64,53,7,10,27
65,37,70,39,95
66,50,70,70,9
67,59,10,73,26
68,84,79,5,32
69,53,23,49,77
70,15,31,35,60
71,84,43,60,45
72,94,2,26,17
73,48,7,30,19
74,68,71,62,88
75,13,83,56,6
76,54,98,37,68
77,41,96,84,33
78,7,98,48,40
79,34,72,17,82
80,32,54,6,45
81,2,64,67,47
82,69,7,96,91
83,23,44,62,70
84,73,77,62,16
85,38,12,3,88
86,24,67,24,70
87,62,40,75,38
88,26,70,87,96
89,75,90,42,59
90,41,22,1,37
91,53,92,23,59
92,41,70,88,38
93,86,85,15,76
94,93,29,86,95
95,67,88,65,47
96,80,9,81,93
97,17,76,56,85
98,35,41,25,76
99,36,24,5,72
