,coluna_1,coluna_2,coluna_3,coluna_4
0,20,8,58,42
1,15,52,35,71
2,9,92,30,84
3,78,91,5,79
4,66,45,80,75
5,71,56,72,33
6,9,68,16,63
7,76,47,87,75
8,87,80,34,35
9,25,19,98,10
10,45,43,72,64
11,52,29,19,95
12,6,41,71,31
13,83,21,29,49
14,39,96,52,65
15,65,28,64,30
16,44,16,83,51
17,63,3,39,31
18,98,8,39,99
19,56,43,60,71
20,80,89,26,82
21,20,69,16,16
22,7,87,60,90
23,6,19,97,72
24,0,63,71,79
25,66,71,59,99
26,5,43,49,4
27,88,40,6,42
28,19,59,82,6
29,44,4,44,40
30,92,40,22,65
31,59,30,44,5
32,31,65,77,92
33,53,1,96,44
34,28,74,80,91
35,34,37,90,20
36,24,51,83,42
37,21,25,13,25
38,49,2,33,47
39,52,73,73,70
40,65,94,82,13
41,6,59,68,34
42,86,62,52,7
43,36,62,43,65
44,44,53,48,51
45,41,97,66,96
46,63,65,59,24
47,23,61,8,91
48,4,68,31,86
49,36,88,0,69
50,6,96,68,45
51,61,3,69,57
52,17,87,1,11
53,7,77,64,7
54,89,54,36,93
55,69,64,15,50
56,13,19,27,80
57,42,27,28,65
58,66,30,88,46
59,10,59,84,15
60,52,86,62,35
61,27,5,31,21
62,90,76,25,64
63,26,93,92,16
64,56,38,59,32
65,52,18,11,87
66,17,71,60,47
67,2,28,61,74
68,58,2,80,69
69,22,62,0,82
70,59,71,22,89
71,93,93,12,73
72,71,29,89,98
73,26,74,94,27
74,63,3,17,42
75,2,50,52,67
76,55,97,7,35
77,38,29,9,24
78,53,10,5,47
79,19,45,45,35
80,76,84,41,4
81,45,3,65,91
82,75,5,56,70
83,1,64,97,51
84,33,47,30,68
85,23,4,88,31
86,69,28,93,32
87,12,45,57,33
88,44,37,80,87
89,71,93,42,24
90,19,74,30,85
91,29,97,45,21
92,90,40,87,22
93,59,62,11,37
94,51,50,3,75
95,83,31,1,5
96,4,25,51,52
97,52,29,7,88
98,37,88,99,78
99,78,25,27,64
